Episode: 1/1000, Reward: -598.8189266576638, Epsilon: 0.995, Landed: False
Episode: 2/1000, Reward: -261.8816776656673, Epsilon: 0.990025, Landed: False
Episode: 3/1000, Reward: -417.62349905689234, Epsilon: 0.985074875, Landed: False
Episode: 4/1000, Reward: -672.8594213032939, Epsilon: 0.9801495006250001, Landed: False
Episode: 5/1000, Reward: -364.0929862774699, Epsilon: 0.9752487531218751, Landed: False
Episode: 6/1000, Reward: -488.2839745557005, Epsilon: 0.9703725093562657, Landed: False
Episode: 7/1000, Reward: -652.3478652513312, Epsilon: 0.9655206468094844, Landed: False
Episode: 8/1000, Reward: -463.9248139027312, Epsilon: 0.960693043575437, Landed: False
Episode: 9/1000, Reward: -460.8916503342756, Epsilon: 0.9558895783575597, Landed: False
Episode: 10/1000, Reward: -461.7148773270639, Epsilon: 0.9511101304657719, Landed: False
Episode: 11/1000, Reward: -772.5287992659039, Epsilon: 0.946354579813443, Landed: False
Episode: 12/1000, Reward: -352.6308057158155, Epsilon: 0.9416228069143757, Landed: False
Episode: 13/1000, Reward: -545.0192053066203, Epsilon: 0.9369146928798039, Landed: False
Episode: 14/1000, Reward: -465.7629432255164, Epsilon: 0.9322301194154049, Landed: False
Episode: 15/1000, Reward: -564.1820110448554, Epsilon: 0.9275689688183278, Landed: False
Episode: 16/1000, Reward: -736.4302664453261, Epsilon: 0.9229311239742362, Landed: False
Episode: 17/1000, Reward: -453.75759008615364, Epsilon: 0.918316468354365, Landed: False
Episode: 18/1000, Reward: -442.26393905127816, Epsilon: 0.9137248860125932, Landed: False
Episode: 19/1000, Reward: -325.46169724327785, Epsilon: 0.9091562615825302, Landed: False
Episode: 20/1000, Reward: -657.4943874628723, Epsilon: 0.9046104802746175, Landed: False
Episode: 21/1000, Reward: -607.5712112142712, Epsilon: 0.9000874278732445, Landed: False
Episode: 22/1000, Reward: -673.2171675973533, Epsilon: 0.8955869907338783, Landed: False
