Episode: 1/1000, Reward: -498.05004203936875, Epsilon: 0.995, Landed: False
Episode: 2/1000, Reward: -788.7929588292011, Epsilon: 0.990025, Landed: False
Episode: 3/1000, Reward: -691.2931036276398, Epsilon: 0.985074875, Landed: False
Episode: 4/1000, Reward: -454.710868006276, Epsilon: 0.9801495006250001, Landed: False
Episode: 5/1000, Reward: -768.2207649234695, Epsilon: 0.9752487531218751, Landed: False
Episode: 6/1000, Reward: -668.7569700989528, Epsilon: 0.9703725093562657, Landed: False
Episode: 7/1000, Reward: -393.32882943361983, Epsilon: 0.9655206468094844, Landed: False
Episode: 8/1000, Reward: -455.0209343300226, Epsilon: 0.960693043575437, Landed: False
Episode: 9/1000, Reward: -386.4529768263625, Epsilon: 0.9558895783575597, Landed: False
Episode: 10/1000, Reward: -534.7135331543841, Epsilon: 0.9511101304657719, Landed: False
Episode: 11/1000, Reward: -389.89781532666643, Epsilon: 0.946354579813443, Landed: False
Episode: 12/1000, Reward: -324.6366847505721, Epsilon: 0.9416228069143757, Landed: False
Episode: 13/1000, Reward: -612.0368954354773, Epsilon: 0.9369146928798039, Landed: False
Episode: 14/1000, Reward: -577.7556476070969, Epsilon: 0.9322301194154049, Landed: False
Episode: 15/1000, Reward: -265.4587458707748, Epsilon: 0.9275689688183278, Landed: False
Episode: 16/1000, Reward: -390.70471762399586, Epsilon: 0.9229311239742362, Landed: False
Episode: 17/1000, Reward: -682.4232902151764, Epsilon: 0.918316468354365, Landed: False
Episode: 18/1000, Reward: -349.06425629900343, Epsilon: 0.9137248860125932, Landed: False
Episode: 19/1000, Reward: -437.60764840629804, Epsilon: 0.9091562615825302, Landed: False
Episode: 20/1000, Reward: -538.0537350554007, Epsilon: 0.9046104802746175, Landed: False
Episode: 21/1000, Reward: -517.1977751150157, Epsilon: 0.9000874278732445, Landed: False
Episode: 22/1000, Reward: -510.81184260564197, Epsilon: 0.8955869907338783, Landed: False
Episode: 23/1000, Reward: -696.4640667331496, Epsilon: 0.8911090557802088, Landed: False
Episode: 24/1000, Reward: -343.176152049174, Epsilon: 0.8866535105013078, Landed: False
Episode: 25/1000, Reward: -439.72411912120026, Epsilon: 0.8822202429488013, Landed: False
Episode: 26/1000, Reward: -687.7781297665083, Epsilon: 0.8778091417340573, Landed: False
Episode: 27/1000, Reward: -623.9480346349627, Epsilon: 0.8734200960253871, Landed: False
Episode: 28/1000, Reward: -261.91920467616086, Epsilon: 0.8690529955452602, Landed: False
Episode: 29/1000, Reward: -660.416339058571, Epsilon: 0.8647077305675338, Landed: False
Episode: 30/1000, Reward: -338.2861193800903, Epsilon: 0.8603841919146962, Landed: False
Episode: 31/1000, Reward: -465.88399148103224, Epsilon: 0.8560822709551227, Landed: False
Episode: 32/1000, Reward: -596.6667038326226, Epsilon: 0.851801859600347, Landed: False
Episode: 33/1000, Reward: -594.1270618185163, Epsilon: 0.8475428503023453, Landed: False
Episode: 34/1000, Reward: -490.89030207288374, Epsilon: 0.8433051360508336, Landed: False
Episode: 35/1000, Reward: -335.8677182522926, Epsilon: 0.8390886103705794, Landed: False
Episode: 36/1000, Reward: -310.5199496375639, Epsilon: 0.8348931673187264, Landed: False
Episode: 37/1000, Reward: -505.9971497837896, Epsilon: 0.8307187014821328, Landed: False
Episode: 38/1000, Reward: -495.20893223015025, Epsilon: 0.8265651079747222, Landed: False
Episode: 39/1000, Reward: -648.0086631841266, Epsilon: 0.8224322824348486, Landed: False
Episode: 40/1000, Reward: -496.70829727102534, Epsilon: 0.8183201210226743, Landed: False
Episode: 41/1000, Reward: -360.4241095746774, Epsilon: 0.8142285204175609, Landed: False
Episode: 42/1000, Reward: -742.2281770967844, Epsilon: 0.810157377815473, Landed: False
Episode: 43/1000, Reward: -506.34287111956706, Epsilon: 0.8061065909263957, Landed: False
Episode: 44/1000, Reward: -597.3780875993987, Epsilon: 0.8020760579717637, Landed: False
Episode: 45/1000, Reward: -995.969995302197, Epsilon: 0.798065677681905, Landed: True
Episode: 46/1000, Reward: -578.8861848720416, Epsilon: 0.7940753492934954, Landed: False
Episode: 47/1000, Reward: -593.2330727241942, Epsilon: 0.7901049725470279, Landed: False
Episode: 48/1000, Reward: -526.3219633262892, Epsilon: 0.7861544476842928, Landed: False
Episode: 49/1000, Reward: -405.5411900309882, Epsilon: 0.7822236754458713, Landed: False
Episode: 50/1000, Reward: -564.4952470421393, Epsilon: 0.778312557068642, Landed: False
Episode: 51/1000, Reward: -566.3780026263424, Epsilon: 0.7744209942832988, Landed: False
Episode: 52/1000, Reward: -594.1475920398024, Epsilon: 0.7705488893118823, Landed: False
Episode: 53/1000, Reward: -334.77586255974285, Epsilon: 0.7666961448653229, Landed: False
Episode: 54/1000, Reward: -575.0349570317051, Epsilon: 0.7628626641409962, Landed: False
Episode: 55/1000, Reward: -659.5007194242305, Epsilon: 0.7590483508202912, Landed: False
Episode: 56/1000, Reward: -656.2187452363116, Epsilon: 0.7552531090661897, Landed: False
Episode: 57/1000, Reward: -347.38374516759677, Epsilon: 0.7514768435208588, Landed: False
Episode: 58/1000, Reward: -544.4098375858914, Epsilon: 0.7477194593032545, Landed: False
Episode: 59/1000, Reward: -486.346228434834, Epsilon: 0.7439808620067382, Landed: False
Episode: 60/1000, Reward: -598.859155897897, Epsilon: 0.7402609576967045, Landed: False
Episode: 61/1000, Reward: -460.1481496732599, Epsilon: 0.736559652908221, Landed: False
Episode: 62/1000, Reward: -448.203478040816, Epsilon: 0.7328768546436799, Landed: False
Episode: 63/1000, Reward: -560.5647169510835, Epsilon: 0.7292124703704616, Landed: False
Episode: 64/1000, Reward: -497.66668963484267, Epsilon: 0.7255664080186093, Landed: False
Episode: 1/1000, Reward: -406.7839816896517, Epsilon: 0.995, Landed: False
Episode: 2/1000, Reward: -522.8601251425038, Epsilon: 0.990025, Landed: False
Episode: 3/1000, Reward: -421.30838170715344, Epsilon: 0.985074875, Landed: False
Episode: 4/1000, Reward: -490.63376763016004, Epsilon: 0.9801495006250001, Landed: False
Episode: 5/1000, Reward: -317.95472103982536, Epsilon: 0.9752487531218751, Landed: False
Episode: 6/1000, Reward: -447.2093378848277, Epsilon: 0.9703725093562657, Landed: False
Episode: 7/1000, Reward: -249.54249254200084, Epsilon: 0.9655206468094844, Landed: False
Episode: 8/1000, Reward: -269.00212414751957, Epsilon: 0.960693043575437, Landed: False
Episode: 9/1000, Reward: -595.9576123463564, Epsilon: 0.9558895783575597, Landed: False
Episode: 10/1000, Reward: -751.4691119953679, Epsilon: 0.9511101304657719, Landed: False
Episode: 11/1000, Reward: -758.3195751737604, Epsilon: 0.946354579813443, Landed: False
Episode: 12/1000, Reward: -405.4961320065801, Epsilon: 0.9416228069143757, Landed: False
Episode: 13/1000, Reward: -432.10957718600383, Epsilon: 0.9369146928798039, Landed: False
Episode: 14/1000, Reward: -439.98229513624625, Epsilon: 0.9322301194154049, Landed: False
Episode: 15/1000, Reward: -527.8581529031974, Epsilon: 0.9275689688183278, Landed: False
Episode: 16/1000, Reward: -245.28099637671502, Epsilon: 0.9229311239742362, Landed: False
Episode: 17/1000, Reward: -548.9399185370246, Epsilon: 0.918316468354365, Landed: False
Episode: 18/1000, Reward: -335.7090823259489, Epsilon: 0.9137248860125932, Landed: False
Episode: 19/1000, Reward: -508.7194892272564, Epsilon: 0.9091562615825302, Landed: False
Episode: 20/1000, Reward: -611.6592902759112, Epsilon: 0.9046104802746175, Landed: False
Episode: 21/1000, Reward: -489.049089860183, Epsilon: 0.9000874278732445, Landed: False
Episode: 22/1000, Reward: -401.2666338313136, Epsilon: 0.8955869907338783, Landed: False
Episode: 23/1000, Reward: -433.00575726912166, Epsilon: 0.8911090557802088, Landed: False
Episode: 24/1000, Reward: -267.075817939278, Epsilon: 0.8866535105013078, Landed: False
Episode: 25/1000, Reward: -790.0958296302726, Epsilon: 0.8822202429488013, Landed: True
Episode: 26/1000, Reward: -381.0389020430763, Epsilon: 0.8778091417340573, Landed: False
Episode: 27/1000, Reward: -524.0433843702797, Epsilon: 0.8734200960253871, Landed: False
Episode: 28/1000, Reward: -570.3321005633522, Epsilon: 0.8690529955452602, Landed: False
Episode: 29/1000, Reward: -691.4196688022812, Epsilon: 0.8647077305675338, Landed: False
Episode: 30/1000, Reward: -545.5417062158102, Epsilon: 0.8603841919146962, Landed: False
Episode: 31/1000, Reward: -434.03904794217834, Epsilon: 0.8560822709551227, Landed: False
Episode: 32/1000, Reward: -434.0572900765883, Epsilon: 0.851801859600347, Landed: False
Episode: 33/1000, Reward: -467.1111192240058, Epsilon: 0.8475428503023453, Landed: False
Episode: 34/1000, Reward: -305.28212951832705, Epsilon: 0.8433051360508336, Landed: False
Episode: 35/1000, Reward: -477.85050688936064, Epsilon: 0.8390886103705794, Landed: False
Episode: 36/1000, Reward: -308.7331470838168, Epsilon: 0.8348931673187264, Landed: False
Episode: 37/1000, Reward: -455.84330160600075, Epsilon: 0.8307187014821328, Landed: False
Episode: 38/1000, Reward: -493.3872272547423, Epsilon: 0.8265651079747222, Landed: False
Episode: 39/1000, Reward: -707.4750508256067, Epsilon: 0.8224322824348486, Landed: False
Episode: 40/1000, Reward: -299.45820902155646, Epsilon: 0.8183201210226743, Landed: False
Episode: 41/1000, Reward: -329.7704782494176, Epsilon: 0.8142285204175609, Landed: False
Episode: 42/1000, Reward: -388.8989436925431, Epsilon: 0.810157377815473, Landed: False
Episode: 43/1000, Reward: -1069.2619502565028, Epsilon: 0.8061065909263957, Landed: True
Episode: 44/1000, Reward: -378.58092709514244, Epsilon: 0.8020760579717637, Landed: False
